10k,name,division,25k,gender,age,official,bib,genderdiv,ctz,35k,overall,pace,state,30k,5k,half,20k,country,city,40k
46.72,"Correnti, Nancy Nes C.",1413,118.37,F,38,208.28,13587,1849,,170.32,8759,7.95,MA,143.72,23.40,99.25,94.12,USA,Hingham,196.20
48.53,"Flaherty, James L.",960,121.77,M,55,237.52,13588,10876,,189.22,17422,9.07,CA,151.60,24.35,101.83,96.63,USA,Huntington Beach,222.63
48.53,"Ito, Rina",1056,120.82,F,31,204.45,13589,1360,JPN,170.17,7629,7.80,MA,145.60,24.30,101.82,96.67,USA,Dorchester,193.97
47.67,"McGowan, Steve",1943,122.08,M,53,264.97,13591,13183,,191.68,22652,10.12,CA,151.22,23.85,101.72,96.33,USA,Aptos,242.95
48.83,"Coleman, Martin R.",1049,122.87,M,53,216.10,13592,8161,,176.38,11171,8.25,GA,149.32,24.48,103.53,98.22,USA,Marietta,203.52
46.22,"Goldstein, Scott",667,116.50,M,50,206.23,13593,6559,,168.28,8139,7.87,MI,141.97,23.28,97.77,92.63,USA,West Bloomfield,194.45
55.18,"Brady, Charles",1369,135.68,M,50,227.22,13594,9631,,190.70,14531,8.67,OH,163.48,26.85,114.53,108.72,USA,Cincinnati,216.03
48.40,"Bradford, Karl",1082,123.83,M,50,217.25,13595,8332,,178.73,11546,8.30,MN,151.18,23.78,103.78,98.32,USA,Woodbury,205.52
48.95,"Brown, Tim",1309,123.78,M,51,224.87,13596,9362,,180.82,13862,8.58,ON,151.20,24.25,103.93,98.43,CAN,North Bay,211.60
48.42,"Wyant, Cindy S.",408,123.42,F,43,214.72,13597,2799,,176.73,10745,8.20,IN,149.92,23.98,103.55,98.00,USA,New Albany,203.38
48.88,"Strickland, Allen W.",1146,120.08,M,47,206.27,13600,6567,,169.42,8151,7.88,NC,143.63,24.35,101.57,96.40,USA,Charlotte,195.08
45.82,"Guzinski, Carol E.",1515,124.93,F,47,256.98,13601,8768,,202.50,21318,9.82,NY,157.70,22.48,102.73,96.80,USA,Garnerville,243.32
49.52,"Caron, Sandrine",2918,125.85,F,35,224.68,13602,4470,,182.88,13813,8.58,NB,153.58,24.65,105.17,99.70,CAN,Pointe-A-Tom,212.18
48.00,"Ellett, Carlie",1962,122.68,F,22,213.87,13603,2667,,174.92,10490,8.17,UT,148.43,24.17,101.20,95.90,USA,Orem,202.23
48.07,"Gerbrand, Stephanie F",4410,136.78,F,30,255.22,13604,8590,,204.63,21011,9.75,MB,166.93,23.92,111.65,106.23,CAN,Steinbach,239.18
47.90,"Connell, Ashley",1076,120.03,F,27,204.67,13605,1386,,169.30,7706,7.82,GA,144.42,24.03,101.18,95.85,USA,Atlanta,194.07
47.82,"Edgar, Elisa",475,121.80,F,42,216.65,13606,3109,,175.63,11349,8.27,PA,148.05,24.08,102.02,96.62,USA,Allison Park,203.87
48.68,"Gutwein, Matthew",1286,122.72,M,51,224.27,13607,9285,,179.93,13681,8.57,IN,150.57,24.17,102.88,97.32,USA,Indianapolis,210.35
48.28,"Weinsheim, John M.",1464,121.58,M,49,214.77,13609,7950,,173.77,10754,8.20,OR,146.72,24.07,102.50,97.12,USA,Bend,202.78
44.88,"Wachler, Amy M",292,110.45,F,26,189.95,13610,354,,155.93,4135,7.25,MA,132.93,22.87,93.25,88.55,USA,Boston,179.03
48.35,"O'Byrne, Ellen C.",1482,121.65,F,25,208.98,13611,1946,,172.25,8993,7.98,IL,146.52,24.33,102.58,97.20,USA,Chicago,197.97
47.07,"Hammond, Natalie",1120,118.00,F,30,205.10,13612,1440,,168.00,7823,7.83,ID,142.47,23.37,99.53,94.37,USA,Meridian,193.53
48.03,"White, Richard",971,123.37,M,54,213.98,13613,7840,,173.83,10532,8.17,NY,147.73,24.05,105.23,100.30,USA,New York,200.95
51.87,"Hansen, Niels Erik",2319,136.28,M,48,261.40,13614,12916,,212.52,22085,9.98,,173.52,25.33,113.50,107.22,DEN,Silkeborg,246.88
54.08,"Fell, James S.",2027,138.12,M,45,237.07,13615,10812,,196.40,17287,9.05,AB,167.02,26.75,116.22,110.53,CAN,Calgary,224.92
46.33,"Francis, Jen",964,117.58,F,39,203.32,13616,1236,,167.43,7319,7.77,CA,142.22,23.15,98.80,93.63,USA,Victorville,192.57
51.67,"Howard, Erika S",3661,130.82,F,32,236.22,13617,6358,,190.02,17065,9.02,NY,159.62,25.87,109.80,104.07,USA,Tonawanda,223.45
47.18,"Hurd, Raymond B",1762,119.00,M,53,247.28,13619,11777,,184.50,19535,9.43,TN,147.65,23.72,99.98,94.80,USA,Lebanon,229.53
50.12,"Dodds, Jeremy",1460,126.33,M,45,214.60,13621,7927,,175.07,10707,8.20,NY,150.80,24.90,106.98,101.73,USA,Skaneateles,201.18
47.03,"Migay, Marcia",712,118.05,F,38,199.70,13622,900,,165.33,6388,7.63,ON,141.53,23.80,99.73,94.72,CAN,Thunder Bay,189.00
51.42,"Macmaster, Jennifer C",2598,128.70,F,37,220.70,13623,3798,,182.22,12631,8.43,TN,155.17,25.73,108.45,102.78,USA,Hendersonville,209.67
48.82,"Nettleton, Michelle V.",3100,125.50,F,34,227.15,13624,4890,,180.45,14514,8.67,DC,152.75,24.35,104.80,99.13,USA,Washington,212.75
49.08,"Widenmaier, Robyn L.",2346,125.20,F,34,217.98,13625,3337,,179.42,11784,8.32,ON,152.27,24.45,105.02,99.42,CAN,Toronto,206.43
44.78,"Nelson, Parker M.",313,110.58,F,26,190.85,13626,381,,157.10,4308,7.28,IL,133.38,22.63,93.03,88.32,USA,Wheaton,180.70
48.67,"Sheridan, Sean M",972,122.75,M,50,213.98,13627,7841,,175.10,10533,8.17,IL,148.75,24.25,103.32,97.82,USA,Chicago,201.37
51.22,"Herbert, Kevin",1682,130.43,M,51,241.55,13628,11309,,192.52,18407,9.22,TX,160.02,25.68,109.08,103.30,USA,Mckinney,226.77
49.08,"Overton, Dana",3781,128.95,F,39,238.50,13629,6699,,189.95,17693,9.10,AL,158.53,24.48,106.38,100.67,USA,Albertville,224.22
49.02,"Shores, Colleen",2987,125.55,F,30,225.48,13630,4605,,183.52,14049,8.62,MA,153.33,24.40,104.87,99.33,USA,Duxbury,212.73
54.48,"Maderia, Phillip P",2274,143.73,M,46,257.25,13631,12569,,208.50,21356,9.82,MA,174.33,27.03,119.17,112.60,USA,West Newbury,242.42
48.30,"Shannon, John",2052,120.80,M,46,238.08,13632,10949,,182.82,17572,9.08,GA,148.40,24.20,101.82,96.55,USA,Atlanta,222.73
49.12,"Shiue, Pan-Wei",215,122.78,M,57,205.42,13633,6439,,173.25,7922,7.85,PA,148.05,24.37,103.63,98.37,USA,Newtown,196.15
46.67,"Blouin, Tim",625,122.37,M,57,222.67,13634,9080,,180.87,13204,8.50,MA,150.93,22.88,102.12,96.72,USA,Winchendon,210.55
47.25,"Harrist, Alexia V.",1889,120.82,F,34,213.08,13635,2550,,174.10,10259,8.13,MA,146.90,23.50,101.37,96.03,USA,Boston,201.17
48.65,"Schmidt, Kristina",847,128.27,F,45,233.73,13636,5918,,187.58,16329,8.92,,157.17,23.48,106.77,101.02,GER,Hamburg,220.20
48.20,"Lindquist, Beth",463,124.93,F,47,223.53,13637,4283,,181.62,13478,8.53,ME,152.13,23.88,103.40,97.95,USA,Kittery,210.40
46.85,"Blau, Kelly",583,121.85,F,42,219.47,13638,3606,,178.10,12263,8.38,TX,149.37,23.28,101.42,95.98,USA,Odessa,207.07
47.08,"Van Quathem, Carrie",261,119.40,F,42,209.22,13639,1983,,172.25,9075,7.98,IA,145.02,23.35,100.42,95.08,USA,Urbandale,198.62
45.97,"Meyer, Catherine J.",1604,119.03,F,22,210.13,13641,2119,,172.12,9376,8.02,NH,145.42,22.87,98.53,93.33,USA,Hanover,198.65
44.75,"Shalvarjian, Tami",136,116.97,F,49,208.88,13642,1934,,169.52,8959,7.98,CA,142.55,22.52,97.13,91.88,USA,Manhattan Beach,195.98
52.22,"Turner, Lisa C.",153,124.90,F,45,210.18,13643,2126,,174.73,9398,8.02,WI,149.47,27.48,106.12,100.90,USA,Oconomowoc,199.35
51.05,"Rankin, Monica",1491,138.38,F,41,253.30,13644,8397,,204.92,20652,9.67,TX,171.45,24.42,113.67,107.38,USA,Murphy,238.47
50.40,"Gunner, Melissa R.",1862,123.90,F,23,212.85,13645,2502,,176.52,10177,8.13,CA,149.97,24.47,105.17,99.98,USA,Mission Viejo,201.92
52.50,"Tannous, Ali",4703,135.73,F,30,264.87,13646,9459,,202.60,22634,10.12,PA,165.98,25.88,113.87,107.80,USA,Bethlehem,243.92
48.73,"Greving, Katie M.",4560,129.42,F,26,260.23,13647,9072,,212.83,21909,9.93,KS,159.43,23.82,106.85,100.92,USA,Mission,248.22
46.38,"Soroka, Elizabeth",967,117.63,F,36,203.40,13649,1239,,168.18,7335,7.77,PA,142.78,23.30,98.90,93.77,USA,Bellefonte,192.43
47.40,"Huppert, Alison",2124,121.98,F,36,215.72,13650,2947,,175.63,11042,8.23,WI,148.15,23.88,100.63,95.30,USA,La Crosse,203.93
45.95,"Higgins, Suzanne J.",1025,117.72,F,24,204.10,13651,1323,,168.52,7523,7.80,NE,142.62,22.55,98.78,93.55,USA,Omaha,193.37
50.03,"Perry, Michelle L.",2827,128.27,F,20,223.43,13653,4267,,183.47,13451,8.53,OH,155.57,24.80,107.72,102.20,USA,Oxford,211.50
48.75,"Verderame, Jyoti",362,124.85,F,46,219.72,13654,3652,,178.97,12361,8.38,IN,151.45,24.17,104.72,99.17,USA,Greenwood,206.72
45.92,"Balinsky, Laurette A",513,113.70,F,35,195.67,13655,640,,161.35,5424,7.47,FL,137.17,23.08,96.02,91.07,USA,Orlando,184.95
49.35,"Laberge, Melissa",1843,124.60,F,35,212.68,13656,2476,,176.75,10127,8.12,QC,150.83,24.90,104.93,99.52,CAN,Jonquiere,201.83
47.63,"Riordan, Lisa A.",603,124.03,F,41,219.87,13657,3683,,179.70,12409,8.40,CT,151.70,23.73,103.60,97.92,USA,Simsbury,207.73
46.52,"Esposito, Chrissy",2108,119.80,F,24,215.53,13658,2923,,175.67,10992,8.23,CO,147.80,23.27,99.97,94.77,USA,Denver,204.47
48.20,"Kujawski, Robert J.",975,125.87,M,52,214.00,13659,7849,,176.58,10544,8.17,NY,151.03,23.57,105.02,99.05,USA,Cutchogue,202.57
46.93,"Mok, Chi Ming",1012,118.65,M,52,215.08,13660,8003,GBR,170.83,10853,8.22,,143.57,23.37,99.82,94.63,HKG,Hong Kong,201.07
49.72,"Lemal, Nicole",1871,124.42,F,29,212.95,13661,2521,,176.25,10211,8.13,PA,149.95,25.08,104.88,99.48,USA,Camp Hill,202.07
46.75,"Burdette, Jennifer C.",3385,122.62,F,36,231.57,13662,5586,,184.90,15740,8.83,NC,153.65,23.25,99.90,94.60,USA,Wilmington,217.38
45.52,"Harrell, Constance S",747,116.10,F,31,200.13,13663,949,,166.05,6506,7.63,GA,140.82,22.60,97.60,92.40,USA,Atlanta,190.30
48.35,"Raj, Joseph T. Jr.",1900,130.40,M,52,259.87,13664,12805,,213.95,21848,9.92,MI,168.07,24.13,103.80,97.98,USA,Brownstown,246.07
46.93,"Rosenthal, David L",708,118.40,M,52,207.10,13665,6710,,169.97,8403,7.90,WI,143.73,23.48,99.45,94.27,USA,Stevens Point,195.93
47.97,"Carignan, Alain",758,120.85,M,52,208.37,13666,6921,,172.73,8783,7.95,QC,146.63,24.30,101.57,96.12,CAN,Trois-Rivieres,197.33
47.77,"O'Connor, Cheryl J",64,118.22,F,45,200.82,13667,1008,,166.50,6665,7.67,OH,142.15,24.42,99.70,94.58,USA,Whitehouse,190.18
48.05,"Russell, Karen",1183,120.75,F,37,205.78,13668,1524,,170.70,8018,7.85,TX,145.58,23.98,101.75,96.50,USA,Cedar Park,195.15
49.50,"Shannon, Timothy M.",1190,129.65,M,55,254.38,13669,12358,,201.18,20867,9.72,CT,162.43,25.02,106.03,100.48,USA,Branford,237.05
48.07,"Thomas, Elizabeth L.",959,119.82,F,39,203.18,13670,1230,,168.23,7291,7.75,MD,143.87,24.23,101.17,95.97,USA,Silver Spring,192.60
49.63,"Flournoy, Thomas H.",840,125.32,M,55,232.25,13671,10228,,183.38,15907,8.87,NJ,152.70,24.58,105.45,100.08,USA,Port Republic,216.73
47.80,"Izsak, Jeffrey",754,120.57,M,54,208.12,13672,6891,,171.58,8713,7.95,OH,145.87,23.82,101.37,96.17,USA,Strongsville,196.98
47.88,"Galan, Kelly",493,124.52,F,44,217.18,13673,3203,,178.38,11527,8.30,NH,151.48,23.63,104.35,98.80,USA,Londonderry,204.97
45.03,"Derrick, Nicole L.",30,111.73,F,43,188.38,13674,299,,156.37,3805,7.20,MI,133.90,22.73,94.53,89.67,USA,Royal Oak,178.55
47.32,"Moore, Kristin",773,118.70,F,40,224.53,13675,4433,,173.02,13758,8.57,MA,143.25,23.60,100.00,94.82,USA,Bedford,209.38
44.95,"Bilder, Cristina",1544,113.77,F,27,209.55,13676,2031,,167.13,9183,8.00,TX,138.52,22.77,95.50,90.50,USA,Austin,198.45
44.63,"Limbach, Sarah",2685,119.82,F,29,221.70,13677,3965,,176.53,12935,8.47,PA,147.67,22.25,99.52,94.02,USA,Drexel Hill,207.33
47.80,"Pratsch, Peter",1175,121.48,M,50,220.07,13678,8746,,177.28,12450,8.40,,148.28,23.68,101.77,96.52,FIN,Grankulla,207.62
48.27,"Kampen, Daniel R.",1359,121.80,M,54,226.68,13679,9573,,179.25,14372,8.65,KS,148.67,24.20,102.33,96.97,USA,Shawnee,212.65
48.00,"Savinovich, Sam",819,121.72,M,50,209.38,13680,7128,,172.97,9132,8.00,CA,147.05,24.00,102.37,96.97,USA,Sacramento,198.52
48.55,"Smith, David P",983,122.38,M,50,214.22,13681,7879,,174.12,10598,8.18,PA,147.72,24.38,103.10,97.70,USA,Glen Rock,202.13
54.78,"Bray, Daniel E.",1931,142.53,M,54,263.92,13682,13102,,212.00,22482,10.07,UT,175.55,26.92,119.40,113.15,USA,Orem,247.25
48.22,"Gozigian, Glynis",132,121.65,F,47,208.47,13683,1885,,172.15,8834,7.97,MA,146.55,24.07,102.43,97.25,USA,Boston,197.40
47.90,"Pham, Doan N.",225,118.45,F,40,207.63,13684,1764,,170.60,8559,7.93,TX,143.82,24.30,99.72,94.72,USA,Houston,196.27
48.38,"Brames, Monica D",3717,125.67,F,37,237.33,13685,6516,,191.67,17369,9.07,IN,158.70,24.25,103.68,97.98,USA,Indianapolis,223.53
48.17,"Mueller, Craig",347,120.40,M,59,212.67,13687,7647,,172.33,10121,8.12,MN,145.53,24.08,101.45,96.25,USA,St James,200.20
47.72,"Keyko, Kacey J.",2456,118.83,F,28,219.17,13688,3550,,177.02,12159,8.37,AB,147.17,24.07,99.90,94.72,CAN,Edmonton,206.92
48.75,"Calkins, Eileen",4051,134.25,F,33,244.93,13689,7514,,199.73,19099,9.35,PA,167.33,23.93,110.17,103.87,USA,Lancaster,231.48
48.68,"Rook, Geoff G.",1189,121.50,M,53,220.68,13690,8831,,176.47,12626,8.43,MI,147.42,24.55,102.55,97.28,USA,Lansing,206.93
55.38,"Thomas, Aj",1893,140.62,M,52,259.10,13691,12737,,209.73,21716,9.88,GA,173.17,27.42,116.55,110.37,USA,Atlanta,243.62
48.17,"Mata, Silvester G.",1062,122.50,M,52,216.60,13692,8232,,176.22,11330,8.27,MD,148.67,24.40,102.88,97.43,USA,Severna Park,204.40
46.00,"Bain, Hope M",45,115.82,F,47,198.78,13693,831,,163.83,6131,7.58,CO,139.53,23.07,97.17,92.22,USA,Colorado Springs,187.55
47.60,"Ashworth, Kimberly",134,119.37,F,43,202.27,13694,1130,,168.00,7020,7.72,MA,143.92,23.78,100.67,95.50,USA,North Attleboro,191.95
46.17,"Betanzos, Ashley",883,116.70,F,39,202.22,13695,1124,,166.65,7000,7.72,GA,141.42,23.33,98.13,92.97,USA,Dacula,191.22
45.70,"Williams, Ray K.",170,114.48,M,59,202.57,13696,5941,,163.18,7103,7.73,NS,138.33,22.98,96.45,91.48,CAN,Dartmouth,189.92
50.38,"Shremshock, Mikala",3080,126.00,F,31,226.92,13697,4841,,183.32,14439,8.67,WV,153.37,25.40,106.15,100.58,USA,Harpers Ferry,213.87
47.02,"Orbell, Jenny M.",1045,118.37,F,22,204.38,13698,1346,,168.35,7600,7.80,ON,143.08,23.68,99.67,94.63,CAN,Lakefield,193.47
43.10,"Mahoney, Ceara C",448,110.17,F,34,194.27,13699,549,,158.78,5097,7.42,MA,133.92,21.43,92.32,87.40,USA,Melrose,183.28
45.72,"Fyodorova, Anna",1839,119.53,F,32,212.65,13700,2471,,173.85,10112,8.12,NY,145.82,23.05,99.62,94.25,USA,Brooklyn,201.10
48.68,"Stanojev, Alexandra",2313,122.98,F,21,217.70,13701,3286,,177.90,11688,8.32,FL,149.28,24.30,103.55,98.13,USA,Gainesville,205.30
50.20,"Douglas, Isaiah J",973,123.20,M,52,213.98,13702,7843,,173.65,10535,8.17,GA,148.45,25.50,104.60,99.27,USA,Savannah,201.88
48.40,"Lehman, Joel",815,120.00,M,53,209.32,13703,7115,,170.95,9108,8.00,CT,144.85,24.72,101.30,96.08,USA,Avon,197.48
48.55,"White, Jessica",214,122.75,F,45,213.63,13705,2628,,175.63,10409,8.15,UT,148.70,24.43,103.20,97.80,USA,Lehi,201.67
47.32,"Fischer, Jennifer",152,119.72,F,45,210.03,13706,2106,,171.72,9355,8.02,MA,145.48,23.53,100.40,95.20,USA,Franklin,198.15
48.70,"Nordan, Nicolette",2746,125.68,F,33,222.45,13707,4085,,180.73,13145,8.50,FL,153.03,24.58,104.58,99.12,USA,Elkton,209.68
48.45,"Sanders, Gretchen M",1013,120.60,F,33,203.95,13708,1303,,169.83,7478,7.78,TX,145.23,24.12,101.73,96.47,USA,Austin,193.62
51.30,"Nelson, Joann E.",4035,131.15,F,36,244.62,13709,7479,,194.27,19034,9.33,CO,161.98,26.23,109.22,103.32,USA,Boulder,226.48
48.38,"Kristensen, Gary",1464,121.22,M,50,231.22,13710,10112,,178.43,15640,8.83,OH,147.52,24.57,101.88,96.60,USA,Johnstown,216.37
44.67,"Blocker, Vince",171,109.42,M,50,186.07,13711,3155,,153.50,3400,7.10,OK,131.10,22.87,92.70,87.70,USA,Jenks,176.18
48.17,"Pichette, Julie",144,118.70,F,42,202.83,13712,1198,,167.67,7190,7.75,QC,142.90,23.90,100.55,95.47,CAN,Boischatel,191.88
47.25,"Joelsson, Charlotte S",481,123.72,F,40,216.92,13713,3151,SWE,177.55,11437,8.28,VA,150.30,23.62,103.05,97.68,USA,Herndon,205.03
47.15,"Nelson, Michael T.",521,119.33,M,55,218.28,13714,8489,,-,11884,8.33,CA,146.48,23.47,99.93,94.63,USA,Ontario,205.65
48.05,"Kittell, Keith W",661,122.67,M,59,224.05,13715,9266,,181.10,13625,8.55,IL,149.62,24.17,103.05,97.12,USA,Chester,211.28
53.10,"Workman, Sara E",3963,134.67,F,25,242.67,13716,7234,,193.87,18628,9.27,OH,163.65,26.03,113.05,107.10,USA,Columbus,226.97
45.45,"Moore Tibbetts, Katharine",870,116.38,F,30,202.00,13717,1109,,166.05,6948,7.72,PA,140.77,22.82,97.68,92.45,USA,Philadelphia,191.15
50.92,"Eads, Scott",1318,127.90,M,52,225.15,13718,9404,,181.80,13948,8.60,KS,154.77,25.27,107.97,102.38,USA,Andover,210.57
48.43,"Leclerc, Yves",1296,122.50,M,52,224.47,13720,9321,CAN,180.08,13747,8.57,IL,150.10,24.25,102.60,97.20,USA,Naperville,210.85
48.45,"Salinda, Stanley",925,121.53,M,53,212.33,13722,7603,,173.03,10030,8.10,CA,146.82,24.23,102.48,97.07,USA,Coronado,199.40
49.50,"Tervort, Sydney",20,125.27,F,57,213.75,13724,2648,,177.02,10451,8.17,UT,150.98,24.45,105.38,99.57,USA,Salt Lake City,202.37
45.38,"Bedard, Bridget N",153,115.73,F,41,203.65,13725,1274,,165.90,7414,7.78,ON,140.17,22.68,97.12,92.00,CAN,Toronto,191.78
49.82,"Alter, Doug",572,127.22,M,55,220.08,13726,8748,,181.55,12453,8.40,PA,154.15,24.78,106.40,100.88,USA,Berwick,208.42
44.77,"Bender, Shelley D",1085,115.82,F,38,204.73,13727,1395,,166.98,7724,7.82,AB,140.90,22.50,96.97,91.80,CAN,Calgary,192.95
47.62,"Zoeller, Lara",683,118.22,F,30,199.22,13728,864,,166.23,6249,7.60,GA,142.25,23.88,99.90,94.78,USA,Savannah,189.18
48.97,"Krakow, Ashley R",3443,124.72,F,26,232.73,13729,5756,,183.97,16045,8.88,WI,152.83,24.38,104.38,98.83,USA,Wisconsin Rapids,217.50
46.83,"Bava, Ashley",1486,117.43,F,25,209.00,13730,1951,,170.95,8999,7.98,NJ,143.75,23.62,98.73,93.60,USA,Franklin Lakes,197.77
48.38,"Clayton, Jennifer",738,119.43,F,36,200.02,13731,935,,166.93,6480,7.63,TN,143.20,24.65,101.02,95.87,USA,Franklin,189.98
55.88,"Rauman, Jerry",1982,148.30,M,50,269.88,13732,13551,,218.72,23437,10.30,IL,181.62,27.63,124.63,115.45,USA,Tinley Park,254.87
49.88,"McKenna, David",1059,124.28,M,53,216.43,13733,8205,,175.17,11274,8.27,TX,149.25,24.88,105.02,99.67,USA,Granbury,203.38
53.85,"Parliyan, Nisim",1692,138.72,M,50,242.45,13734,11378,ISR,203.60,18577,9.25,NJ,173.53,26.33,116.30,110.57,USA,Hampton,230.77
47.38,"Karp, Ashlee L.",2476,125.35,F,25,219.33,13735,3585,,181.38,12219,8.37,IL,153.30,23.58,104.30,98.78,USA,Chicago,208.37
51.58,"Bonner, Vivian",2690,129.10,F,37,221.75,13737,3978,TPE,182.57,12953,8.47,CA,155.35,25.78,108.67,103.03,USA,Stevenson Ranch,209.62
49.10,"Hup, Stanley W.",623,123.65,M,59,222.47,13738,9063,,180.82,13150,8.50,MN,151.30,24.35,104.12,98.88,USA,Northfield,209.17
47.45,"Ingram, David",237,118.25,M,57,206.78,13739,6656,,167.40,8300,7.90,AZ,142.53,23.68,99.88,94.63,USA,Tucson,193.28
47.62,"Stoerman, Amanda",4182,129.05,F,29,248.80,13740,7894,,209.77,19796,9.50,IL,160.22,23.85,106.03,100.60,USA,Chicago,237.35
47.78,"Ritchey, Katherine",1601,120.90,F,32,210.08,13741,2113,,172.58,9365,8.02,WA,146.40,23.88,101.48,96.20,USA,Seattle,198.57
48.20,"Duffy, Meghan R",3397,125.50,F,28,231.75,13742,5620,,190.67,15789,8.85,NY,159.28,24.13,104.77,99.12,USA,Brooklyn,220.42
49.58,"Knopp, Roy L Jr.",1438,126.18,M,53,230.43,13743,10021,,185.18,15411,8.80,MI,153.80,24.55,105.83,100.18,USA,Midland,216.92
49.10,"Fishman, Gretchen",970,126.35,F,42,230.93,13744,5477,,187.92,15550,8.82,MA,156.32,24.28,105.52,99.88,USA,Middleton,217.80
51.05,"Cahoon, Kimberli",427,127.03,F,41,215.18,13745,2870,,178.92,10888,8.22,UT,152.82,25.53,107.15,101.67,USA,Cedar Hills,204.12
51.38,"Zingman, Jonathan",733,129.93,M,55,227.33,13746,9641,,185.13,14563,8.68,CA,156.43,25.67,109.33,103.72,USA,Oakland,214.32
48.58,"Mautz, Lisa",1678,122.55,F,35,210.82,13747,2221,,173.17,9581,8.05,WI,147.55,24.32,103.37,97.95,USA,Waukesha,199.28
47.78,"Levine, Corinna G.",1603,122.02,F,32,210.10,13748,2117,,173.82,9372,8.02,WA,147.80,23.68,102.53,97.15,USA,Seattle,199.12
46.55,"Syed, Sarah Y.",852,117.28,F,33,201.67,13749,1082,,166.57,6869,7.70,CA,141.58,23.07,98.95,93.77,USA,Sunnyvale,190.82
49.97,"Cannon, Kelly A",4625,142.12,F,29,262.45,13752,9251,,216.23,22256,10.02,MD,178.68,24.67,115.12,108.80,USA,Belcamp,249.02
48.08,"Spetner, Temima",1429,121.22,F,31,208.40,13753,1870,,172.43,8801,7.95,MO,146.32,24.07,102.03,96.73,USA,St. Louis,197.90
46.50,"Ovalle, Jose",369,119.53,M,55,213.82,13755,7820,,173.95,10481,8.17,,145.90,23.27,99.97,94.75,CHI,Santiago,201.47
47.55,"Slavin, Jeff",1073,120.18,M,52,216.93,13756,8288,,173.63,11440,8.28,ON,145.65,23.95,101.02,95.75,CAN,Nepean,203.92
48.97,"Herman, Russell W",1132,124.10,M,52,219.05,13757,8597,,178.25,12124,8.37,NY,150.85,24.38,104.57,98.90,USA,Hilton,205.58
47.88,"Roberts, Kurt D",1732,121.22,M,53,245.38,13758,11631,,187.83,19189,9.37,FL,150.70,23.72,101.73,96.27,USA,Lithia,228.82
48.60,"Krejci, Jeffrey T.",816,121.00,M,52,209.33,13759,7117,,172.87,9110,8.00,IA,146.00,24.48,102.15,96.75,USA,Moville,198.08
50.42,"Hillstrom, Holly",1058,128.60,F,40,233.98,13760,5968,,188.97,16405,8.93,MN,158.53,25.13,107.62,101.85,USA,Mahtomedi,219.58
46.95,"Swigart, Leeann",122,118.08,F,43,201.47,13761,1065,,167.02,6819,7.70,CA,142.63,23.47,99.02,93.97,USA,Ladera Ranch,190.92
48.00,"Cahill, Erica L.",299,121.23,F,48,217.23,13762,3212,,176.60,11539,8.30,TX,148.20,24.13,101.53,96.13,USA,The Woodlands,204.93
48.33,"Yon, David",269,121.30,M,58,209.03,13763,7051,,171.02,9003,7.98,FL,145.97,24.17,102.50,97.27,USA,Tallahassee,198.13
47.28,"Cockayne, Crystal L",3225,124.20,F,27,229.28,13764,5204,,184.88,15096,8.75,NY,154.13,23.83,102.88,97.13,USA,Adams,215.90
48.22,"Oehlke, Jessica",1021,120.20,F,29,204.03,13765,1317,,169.15,7506,7.78,NY,144.57,24.10,101.48,96.22,USA,Ghent,193.58
49.07,"Newett, James H.",221,121.87,M,56,206.02,13767,6528,,171.27,8083,7.87,ME,146.32,24.40,103.05,97.68,USA,Ellsworth,195.30
46.13,"Martin, Ron A.",952,116.32,M,51,213.38,13768,7751,,167.55,10342,8.15,PA,140.88,23.07,97.60,92.48,USA,Warren,199.43
48.28,"Malagoni, Andrea",3804,119.73,M,30,228.25,13769,9758,,179.75,14821,8.72,,145.20,24.13,100.67,95.32,SUI,Lugano (svizzera),214.55
46.85,"Bank, Erin M.",2229,122.78,F,32,216.83,13770,3135,,174.87,11404,8.28,CA,147.67,23.45,100.58,95.25,USA,San Francisco,205.83
49.25,"Molesworth, William",198,125.40,M,61,227.42,13772,9652,,183.43,14588,8.68,CA,153.12,24.52,104.85,99.35,USA,San Diego,214.12
46.83,"Henderson, Kevin",809,117.43,M,51,209.23,13773,7093,,167.05,9078,7.98,IL,141.87,23.72,98.87,93.73,USA,Bloomington,195.97
47.15,"McKenzie, Helen",1387,118.08,F,39,208.07,13775,1816,,170.02,8694,7.95,FL,143.55,23.83,99.43,94.33,USA,Ft. Lauderdale,196.00
44.92,"Rock, Lauren",886,115.30,F,28,202.25,13776,1128,,165.83,7012,7.72,WA,140.02,22.55,95.82,90.77,USA,Seattle,191.55
46.85,"Porter, Sabrina K",1553,117.85,F,26,209.63,13778,2042,,172.03,9215,8.00,NY,144.30,23.88,98.45,93.33,USA,Long Island City,198.40
46.45,"Ruda, Shawn",948,119.13,M,50,213.13,13779,7714,,173.10,10269,8.13,CA,145.57,23.18,99.58,94.22,USA,Calabasas,201.55
50.22,"Codispodi, Pat",1231,124.87,M,51,221.98,13780,9005,,180.93,13022,8.47,ON,151.53,25.40,104.92,99.30,CAN,Ancaster,209.58
51.87,"Rangel, Jesse J. Jr.",2024,134.32,M,54,275.38,13781,13898,,202.60,24197,10.52,IL,166.30,25.63,110.87,104.47,USA,Dekalb,260.00
